cpj_name,gigaza_name,score,accepted
Abdallah Alwan,Abdullah Shukri Alwan.jpg,0.74,yes
Abdallah Iyad Breis,Abdullah Iyad Breis.jpg,0.95,yes
Abdel Rahman al-Tanani,Abdel Rahman Samir Al-Tanani.png,0.88,yes
Abdelhalim Awad,Abdel Halim Mohamed Awad.png,0.77,yes
Abdul Rahman Saima,Abdul Rahman Bahr.jpg,0.80,no
Adham Hassouna,Fatma Hassona.jpg,0.74,no
Ahmad Jamal al Madhoun,Ahmed Jamal Al-Madhoun.png,0.95,yes
Ahmed Abu Aziz,Ahmed Abu Sharia.jpg,0.80,no
Ahmed Abu Mhadi,Ahmed Abu Sharia.jpg,0.84,no
Ahmed Al-Louh,Ahmed Al-Helou.jpg,0.89,no
Ahmed Al-Qara,Ahmed Abu Sharia.jpg,0.76,no
Ahmed Bdeir,Ahmed Naeem Bdeir.jpg,0.79,yes
Ahmed Mansour,Mohammed Mansour.jpg,0.83,no
Alaa Al-Hams,Alaa Hasan Al-Hems.jpg,0.73,yes
Amro Salah Abu Hayah,Amr Salah Abu Haya.png,0.95,yes
Angam Ahmad Edwan,Angham Ahmed Adwan.png,0.86,yes
Assem Kamal Moussa,Assem Kamal Mousa.jpg,0.97,yes
Fadi Hassouna,Fatma Hassona.jpg,0.77,no
Haneen Baroud,Haneen Mahmoud Baroud.png,0.76,yes
Haneen Kashtan,Shareef Okasha.jpg,0.71,no
Hassan Farajallah,Hassan Abdel Fattah Farajallah.jpg,0.72,yes
Heba Al-Abadla,Heba Fouad Al-Abadla.jpg,0.82,yes
Ibrahim Mohammad Lafi,Ibrahim Mohammed Abdullah Lafi.jpg,0.82,yes
Ibrahim Sheikh Ali,Ibrahim Jamal Sheikh Ali.png,0.86,yes
Iman Al Shanti,Anas al-Sharif.jpg,0.71,no
Jabr Abu Hadrous,Jabr Mahmoud Abu Hadros.png,0.77,yes
Jamal Al-Faqaawi,Jamal Aref Salem Al-Faqaawi.jpg,0.74,yes
Jamal Mohamed Haniyeh,Jamal Mohammed Jamal Hania.png,0.77,yes
Khalil Abu Aathra,Khalil Ibrahim Ali Abu Aathra.jpg,0.74,yes
Mahmoud Juhjouh,Amjad Juhjouh.jpg,0.79,no
Marwan Al Sawaf,Marwan Mustafa Al-Sawaf.png,0.79,yes
Moamen Aliwa,Mohammed Ali.jpg,0.75,no
Mohamad Al-Bayyari,Mohammed Hasan Al-Bayari.png,0.76,yes
Mohamad Al-Iff,Mohammed Ali.jpg,0.77,no
Mohamed Abu Hassira,Mohammed Abu Daqqa.jpg,0.76,no
Mohamed Adel Abu Skheil,Mohammed Adel Abu Sukheil.jpg,0.96,yes
Mohamed Azzaytouniyah,Mohammed Younis Al-Zaytounia.png,0.73,yes
Mohamed El-Reefi,Mohammed Al-Sharafi.jpg,0.74,no
Mohamed Jamal Sobhi Al-Thalathini,Mohammed Jamal Sobhi Al-Thalathini.jpg,0.99,yes
Mohamed Khalifeh,Mohammed Ali.jpg,0.79,no
Mohamed Mouin Ayyash,Mohammed Moeen Mahmoud Ayash.jpg,0.71,yes
Mohamed Naser Abu Huwaidi,Mohammed Nasser Abu Hwidi.jpg,0.92,yes
Mohamed Yaghi,Mohammed Ali.jpg,0.80,no
Mohammad al-Khaldi,Mohammed Al Kuaifi.jpg,0.78,no
Mohammad Balousha,Mohammed Balousha.jpg,0.94,yes
Mohammed Abu Hatab,Mohammed Abu Daqqa.jpg,0.83,no
Mohammed Abu Jasser,Mohammed Saeed Abu Jaser.png,0.84,yes
Mohammed Abu Sharia,Ahmed Abu Sharia.jpg,0.86,yes
Mohammed Al Qrinawi,Mohammed Ali.jpg,0.77,no
Mohammed Al-Ladaa,Mohammed Salama.jpg,0.81,no
Mohammed Al-Salhi,Mohammed Al-Sakani.jpg,0.86,no
Mohammed Al-Tanani,Mohammed Al-Sakani.jpg,0.89,no
Mohammed Atallah,Mohammed Faraj Allah.png,0.83,no
Mohammed Bassam Al Jamal,Mohammed Bassam Al-Jamal.jpg,1.00,yes
Mohammed Imad Labad,Mohammed Imad Saeed Lobbad.jpg,0.80,no
Mohammed Issa Abu Saada,Mohammed Issa Mohammed Abu Saada.png,0.84,yes
Mohammed Noufal,Mohammed Ali.jpg,0.81,no
Mohammed Sobh,Mohammed Mansour.jpg,0.76,no
Montaser Al-Sawaf,Muntasir Mustafa Al-Sawaf.jpg,0.71,yes
Mostafa Al Sawaf,Marwan Mustafa Al-Sawaf.png,0.77,yes
Mostafa Bakeer,Mustafa Bahr.jpg,0.77,no
Muhammad Salama,Mohammed Salama.jpg,0.87,yes
Mustafa Ayyad,Mustafa Thuraya.png,0.79,no
Nadia Emad Al Sayed,Nadia Emad Yousuf Al-Sayed.png,0.84,yes
Ola Al Dahdouh,Hamza Al Dahdouh.png,0.80,no
Ola Atallah,Bilal Jadallah.png,0.72,no
Saadi Madoukh,Saadi Mohammed Madoukh.jpg,0.74,yes
Saed Radwan,Saed Saeed Radwan.png,0.79,yes
Salem Abu Toyour,Salem Husni Abu Tyour.png,0.81,yes
Yahya Abu Manih,Yahya Omar Abu Manea.png,0.74,no
Yasser Abu Namous,Yasser Sobhi Hasan Abu Namous.jpg,0.74,yes
Yasser Mamdouh El-Fady,Yasser Mamdouh Youssef Al-Fadi.jpg,0.81,no
Yazan al-Zuweidi,Yazan Emad Al-Zweidi.jpg,0.83,yes
